cash_request_id_main,user_id,cohort,cash_request_amount,cash_request_status,cash_request_id,type,fee_status,fee_amount,charge_moment
412,407,202001,100,rejected,0,0,,,
413,2353,202001,100,rejected,0,0,,,
672,3248,202002,100,rejected,0,0,,,
1504,6461,202005,100,rejected,0,0,,,
416,682,202001,100,rejected,0,0,,,
417,1139,202001,100,rejected,0,0,,,
418,1338,202001,100,rejected,0,0,,,
3654,13911,202006,100,rejected,0,0,,,
421,1043,202001,100,rejected,0,0,,,
2043,4685,202005,100,rejected,0,0,,,
424,1736,202001,100,rejected,0,0,,,
1559,8592,202005,100,rejected,0,0,,,
1369,3377,202004,100,rejected,0,0,,,
714,2659,202002,100,rejected,0,0,,,
1126,5699,202004,100,rejected,0,0,,,
603,3155,202002,100,rejected,0,0,,,
433,2373,202001,100,rejected,0,0,,,
436,1808,202001,100,rejected,0,0,,,
439,812,202001,100,rejected,0,0,,,
440,213,202001,100,rejected,0,0,,,
1435,7977,202004,100,rejected,0,0,,,
442,894,202001,100,rejected,0,0,,,
447,1735,202001,100,rejected,0,0,,,
448,1638,202001,100,rejected,0,0,,,
449,1487,202001,100,rejected,0,0,,,
450,787,202001,100,rejected,0,0,,,
610,2877,202002,100,money_back,0,0,,,
460,1753,202001,100,rejected,0,0,,,
462,1892,202001,100,rejected,0,0,,,
1014,4833,202003,100,rejected,0,0,,,
629,2373,202002,100,rejected,0,0,,,
464,502,202001,100,rejected,0,0,,,
686,2460,202002,100,rejected,0,0,,,
2422,11557,202006,100,rejected,0,0,,,
2022,2102,202005,100,rejected,0,0,,,
1013,952,202003,100,rejected,0,0,,,
470,2353,202001,100,rejected,0,0,,,
2338,10560,202005,50,money_back,0,0,,,
472,835,202001,100,rejected,0,0,,,
473,682,202001,100,rejected,0,0,,,
1127,5239,202004,100,rejected,0,0,,,
475,2453,202001,100,rejected,0,0,,,
3898,16861,202006,100,direct_debit_rejected,3898,incident,cancelled,5,after
3898,16861,202006,100,direct_debit_rejected,3898,incident,rejected,5,after
1370,6144,202004,100,rejected,0,0,,,
478,1338,202001,100,rejected,0,0,,,
587,3024,202002,100,rejected,0,0,,,
2097,4982,202005,100,rejected,0,0,,,
1411,6489,202004,100,rejected,0,0,,,
1416,2739,202004,100,rejected,0,0,,,
715,2398,202002,100,money_back,0,0,,,
821,3549,202003,100,rejected,0,0,,,
483,1770,202001,100,rejected,0,0,,,
6343,10142,202007,100,rejected,0,0,,,
992,3948,202003,100,rejected,0,0,,,
481,1978,202001,100,rejected,0,0,,,
480,1630,202001,100,rejected,0,0,,,
479,323,202001,60,rejected,0,0,,,
1244,5807,202004,100,rejected,0,0,,,
762,3558,202002,50,rejected,0,0,,,
1291,6812,202004,40,rejected,0,0,,,
1428,7847,202004,100,rejected,0,0,,,
6606,28368,202007,100,direct_debit_rejected,6606,postpone,accepted,5,before
6606,28368,202007,100,direct_debit_rejected,6606,incident,cancelled,5,after
6606,28368,202007,100,direct_debit_rejected,6606,incident,rejected,5,after
785,3587,202003,150,money_back,0,0,,,
621,1547,202002,100,rejected,0,0,,,
486,1206,202001,100,rejected,0,0,,,
485,760,202001,100,rejected,0,0,,,
2109,9412,202005,100,money_back,0,0,,,
732,1657,202002,100,rejected,0,0,,,
1902,4654,202005,100,money_back,0,0,,,
763,1861,202002,50,rejected,0,0,,,
493,2152,202001,100,rejected,0,0,,,
1408,7391,202004,100,money_back,0,0,,,
494,205,202001,100,rejected,0,0,,,
488,1627,202001,100,rejected,0,0,,,
495,2414,202001,100,rejected,0,0,,,
604,2857,202002,100,rejected,0,0,,,
497,2494,202001,100,rejected,0,0,,,
1802,2197,202005,100,rejected,0,0,,,
1466,6343,202004,100,rejected,0,0,,,
1452,6887,202004,100,rejected,0,0,,,
592,2659,202002,100,rejected,0,0,,,
1441,1257,202004,100,rejected,0,0,,,
503,213,202001,100,rejected,0,0,,,
504,2507,202001,100,rejected,0,0,,,
528,2767,202001,100,rejected,0,0,,,
507,1736,202001,98,rejected,0,0,,,
509,1338,202001,100,rejected,0,0,,,
510,35,202001,90,rejected,0,0,,,
514,2525,202001,100,rejected,0,0,,,
515,1735,202001,80,rejected,0,0,,,
519,2593,202001,100,rejected,0,0,,,
520,2647,202001,100,rejected,0,0,,,
522,2689,202001,100,rejected,0,0,,,
523,2676,202001,100,rejected,0,0,,,
527,2674,202001,100,rejected,0,0,,,
1501,1393,202005,50,rejected,0,0,,,
1550,3111,202005,100,rejected,0,0,,,
1500,8634,202005,100,rejected,0,0,,,
1893,4034,202005,100,money_back,0,0,,,
1071,2152,202004,100,rejected,0,0,,,
2135,9475,202005,100,money_back,2135,postpone,accepted,5,before
593,3109,202002,50,rejected,0,0,,,
940,4640,202003,100,money_back,0,0,,,
1445,5620,202004,50,rejected,0,0,,,
1603,553,202005,100,rejected,0,0,,,
531,2803,202001,100,rejected,0,0,,,
3810,12724,202006,100,rejected,0,0,,,
533,2811,202001,100,rejected,0,0,,,
534,1978,202001,100,rejected,0,0,,,
3036,8908,202006,100,rejected,0,0,,,
551,2923,202001,100,rejected,0,0,,,
1453,213,202004,100,rejected,0,0,,,
539,2848,202001,100,rejected,0,0,,,
552,787,202001,100,rejected,0,0,,,
542,788,202001,100,rejected,0,0,,,
543,2867,202001,100,rejected,0,0,,,
553,2969,202001,100,rejected,0,0,,,
554,2353,202001,100,rejected,0,0,,,
555,3008,202001,100,rejected,0,0,,,
556,3012,202001,100,rejected,0,0,,,
1253,6675,202004,100,rejected,0,0,,,
547,1398,202001,100,rejected,0,0,,,
549,865,202001,100,rejected,0,0,,,
